"ID"	"CellType"	"Sample"
"c543"	"Epithelial_cell"	"sample1"
"c544"	"CD4+_T_cell"	"sample1"
"c545"	"Fibroblast"	"sample1"
"c546"	"Epithelial_cell"	"sample1"
"c547"	"Epithelial_cell"	"sample1"
"c548"	"B_cell"	"sample1"
"c549"	"Epithelial_cell"	"sample1"
"c550"	"Plasma_cell"	"sample1"
"c551"	"Endothelial_cell"	"sample1"
"c552"	"CD4+_T_cell"	"sample1"
"c553"	"Epithelial_cell"	"sample1"
"c554"	"Fibroblast"	"sample1"
"c555"	"Plasma_cell"	"sample1"
"c556"	"Plasma_cell"	"sample1"
"c557"	"Plasma_cell"	"sample1"
"c558"	"Epithelial_cell"	"sample1"
"c559"	"Plasma_cell"	"sample1"
"c560"	"Epithelial_cell"	"sample1"
"c561"	"CD4+_T_cell"	"sample1"
"c562"	"CD4+_T_cell"	"sample1"
"c563"	"CD8+_T_cell"	"sample1"
"c564"	"Plasma_cell"	"sample1"
"c565"	"CD8+_T_cell"	"sample1"
"c566"	"Plasma_cell"	"sample1"
"c567"	"Epithelial_cell"	"sample1"
"c568"	"NK_cell"	"sample1"
"c569"	"Epithelial_cell"	"sample1"
"c570"	"Epithelial_cell"	"sample1"
"c571"	"CD8+_T_cell"	"sample1"
"c572"	"Epithelial_cell"	"sample1"
"c573"	"NK_cell"	"sample1"
"c574"	"NK_cell"	"sample1"
"c575"	"Epithelial_cell"	"sample1"
"c576"	"Plasma_cell"	"sample1"
"c577"	"Epithelial_cell"	"sample1"
"c578"	"Epithelial_cell"	"sample1"
"c579"	"Plasma_cell"	"sample1"
"c580"	"Plasma_cell"	"sample1"
"c581"	"Epithelial_cell"	"sample1"
"c582"	"Macrophage"	"sample1"
"c583"	"CD4+_T_cell"	"sample1"
"c584"	"CD8+_T_cell"	"sample1"
"c585"	"CD4+_T_cell"	"sample1"
"c586"	"Macrophage"	"sample1"
"c587"	"Epithelial_cell"	"sample1"
"c588"	"Epithelial_cell"	"sample1"
"c589"	"Plasma_cell"	"sample1"
"c590"	"Mast_cell"	"sample1"
"c591"	"Epithelial_cell"	"sample1"
"c592"	"CD8+_T_cell"	"sample1"
"c593"	"Epithelial_cell"	"sample1"
"c594"	"CD8+_T_cell"	"sample1"
"c595"	"CD8+_T_cell"	"sample1"
"c596"	"CD4+_T_cell"	"sample1"
"c597"	"CD4+_T_cell"	"sample1"
"c598"	"Epithelial_cell"	"sample1"
"c599"	"Plasma_cell"	"sample1"
"c600"	"Epithelial_cell"	"sample1"
"c601"	"Plasma_cell"	"sample1"
"c602"	"Epithelial_cell"	"sample1"
"c603"	"CD4+_T_cell"	"sample1"
"c604"	"Plasma_cell"	"sample1"
"c605"	"Epithelial_cell"	"sample1"
"c606"	"Macrophage"	"sample1"
"c607"	"Plasma_cell"	"sample1"
"c608"	"Plasma_cell"	"sample1"
"c609"	"Epithelial_cell"	"sample1"
"c610"	"Epithelial_cell"	"sample1"
"c611"	"Plasma_cell"	"sample1"
"c612"	"Plasma_cell"	"sample1"
"c613"	"Macrophage"	"sample1"
"c614"	"Plasma_cell"	"sample1"
"c615"	"Epithelial_cell"	"sample1"
"c616"	"Plasma_cell"	"sample1"
"c617"	"Plasma_cell"	"sample1"
"c618"	"Plasma_cell"	"sample1"
"c619"	"Epithelial_cell"	"sample1"
"c620"	"Plasma_cell"	"sample1"
"c621"	"Epithelial_cell"	"sample1"
"c622"	"Plasma_cell"	"sample1"
"c623"	"CD4+_T_cell"	"sample1"
"c624"	"Plasma_cell"	"sample1"
"c625"	"Epithelial_cell"	"sample1"
"c626"	"Plasma_cell"	"sample1"
"c627"	"Epithelial_cell"	"sample1"
"c628"	"Plasma_cell"	"sample1"
"c629"	"CD4+_T_cell"	"sample1"
"c630"	"Epithelial_cell"	"sample1"
"c631"	"CD8+_T_cell"	"sample1"
"c632"	"Epithelial_cell"	"sample1"
"c633"	"Plasma_cell"	"sample1"
"c634"	"CD4+_T_cell"	"sample1"
"c635"	"Plasma_cell"	"sample1"
"c636"	"CD4+_T_cell"	"sample1"
"c637"	"CD8+_T_cell"	"sample1"
"c638"	"CD4+_T_cell"	"sample1"
"c639"	"Plasma_cell"	"sample1"
"c640"	"Plasma_cell"	"sample1"
"c641"	"Plasma_cell"	"sample1"
"c642"	"Epithelial_cell"	"sample1"
"c643"	"CD4+_T_cell"	"sample1"
"c644"	"CD8+_T_cell"	"sample1"
"c645"	"Plasma_cell"	"sample1"
"c646"	"CD8+_T_cell"	"sample1"
"c647"	"Epithelial_cell"	"sample1"
"c648"	"Plasma_cell"	"sample1"
"c649"	"Epithelial_cell"	"sample1"
"c650"	"Mast_cell"	"sample1"
"c651"	"Epithelial_cell"	"sample1"
